name,surname,mail,gender,age,school,department,city_living,experience,programs,languages,gpa,degree,department_applied,salary,drivers_license,smoking,military_service,flexible_hours,group_alone,online,reference,internship,hired
Abdul,Freeland,abdul.freeland@mail.com,M,29,Middle East Technical University,Aeronautical Engineering,Ankara,7,MATLAB Altium,E,2.81,Master,Test,47000,1,0,Exempted,0,A,0,0, ,N
Abel,Lowe,abel.lowe@mail.com,F,24,Koc University,Electronics and Automation Engineering,Istanbul,1,OOP,Other,3.15,Bachelor,Programming,37000,1,0, ,0,G,1,0,0,H
Abigail,Clough,abigail.clough@mail.com,F,31,Gaziantep University,Automotive Engineering,Karaman,8,Fusion 360 AutoCAD MATLAB Siemens NX, ,3.32,PhD or Higher,Design,48000,1,1, ,0,A,1,1, ,N
Abigayle,Silva,abigayle.silva@mail.com,F,28,Yildiz Technical University,Automotive Engineering,Istanbul,5,Fusion 360 Siemens NX,G,2.02,Bachelor,Design,13000,1,0, ,0,A,0,0,0,H
Abrianna,Barbosa,abrianna.barbosa@mail.com,M,43,Bogazici University,Electrical Electronics Engineering,Ankara,24,Fusion 360 AutoCAD,Other,3.65,Master,Design,40000,1,0,Delayed,0,G,0,0, ,N
Abril,Coulter,abril.coulter@mail.com,M,29,Bogazici University,Automotive Engineering,Ankara,5,Altium Proteus MATLAB, ,2.55,Bachelor,Test,50000,0,0,Delayed,0,A,0,0,1,N
Ada,Zeigler,ada.zeigler@mail.com,F,33,Istanbul University-Cerrahpasa,Electronics and Communication Engineering,Istanbul,9,C++ C,E,3.28,PhD or Higher,Programming,45000,0,1, ,0,A,1,1, ,H
Adam,Tanner,adam.tanner@mail.com,F,18,Istanbul University-Cerrahpasa,Automotive Engineering,Ankara,0,MATLAB Altium,E,2.70,Bachelor,Test,19000,1,1, ,0,A,0,1,1,N
Adan,Apodaca,adan.apodaca@mail.com,M,43,Istanbul University-Cerrahpasa,Electrical Electronics Engineering,Istanbul,21,MATLAB Altium, ,3.18,Bachelor,Test,31000,1,1,Remnant,0,G,0,0, ,N
Addie,McKinnon,addie.mckinnon@mail.com,F,23,Kirikkale University,Electronics and Automation Engineering,Istanbul,1,MATLAB Altium, ,2.25,Bachelor,Electronics,37000,0,0, ,0,A,0,0,1,N
Aden,Bair,aden.bair@mail.com,M,35,Hacettepe University,Mechanical Engineering,Ankara,10,Java C#,Other,3.21,PhD or Higher,Programming,18000,1,0,Uncertain,0,A,0,0, ,H
Adia,Duong,adia.duong@mail.com,M,34,Istanbul Technical University,Electrical Electronics Engineering,Istanbul,10,Python Java,Other,3.46,Bachelor,Programming,45000,1,0,Exempted,1,A,0,0, ,H
Adilene,Nguyen,adilene.nguyen@mail.com,M,20,Koc University,Electronics and Communication Engineering,Istanbul,0,Proteus,G,2.70,Bachelor,Test,41000,0,0,Not at Military Age,0,G,0,0,0,N
Adilene,Trapp,adilene.trapp@mail.com,M,22,Ege University,Electrical Electronics Engineering,Istanbul,0,Java,"E,G",3.25,Bachelor,Programming,9000,1,0,Not at Military Age,0,A,0,1,1,H
Aditya,Elder,aditya.elder@mail.com,M,18,Istanbul University,Electronics and Automation Engineering,Istanbul,0,Mitsubishi PLC Schneider Electric PLC Allen Bradley PLC,Other,2.82,Bachelor,Automation,23000,0,0,Not at Military Age,0,G,0,1,0,H
Adriana,Neil,adriana.neil@mail.com,M,27,Istanbul University,Electrical Electronics Engineering,Sakarya,5,Siemens NX Solidworks Fusion 360,E,3.31,Master,Design,34000,1,0,Not at Military Age,0,G,0,0,0,N
Adrianna,Light,adrianna.light@mail.com,M,32,Yildiz Technical University,Aeronautical Engineering,Istanbul,12,Altium,E,2.05,PhD or Higher,Test,21000,1,0,Delayed,0,G,1,0, ,N
Agustin,Parnell,agustin.parnell@mail.com,F,43,Kastamonu University,Electrical Electronics Engineering,Erzincan,16,MATLAB,G,3.96,Master,Test,8000,0,1, ,0,G,0,1, ,N
Aidan,Granger,aidan.granger@mail.com,F,36,Ege University,Aeronautical Engineering,Istanbul,16,Mitsubishi PLC Schneider Electric PLC, ,2.38,Bachelor,Automation,28000,1,0, ,0,G,0,1, ,N
Ajay,Beaver,ajay.beaver@mail.com,M,28,Sabanci University,Automotive Engineering,Istanbul,4,AutoCAD, ,2.57,Master,Design,46000,0,1,Delayed,0,G,1,0,0,N
Ajay,Noll,ajay.noll@mail.com,M,38,Istanbul University,Mechatronics Engineering,Mardin,11,Altium Proteus MATLAB,G,3.78,PhD or Higher,Electronics,42000,1,1,Exempted,0,G,1,1, ,H
Alayna,Perryman,alayna.perryman@mail.com,F,18,Istanbul University,Mechatronics Engineering,Istanbul,0,C++ C,E,2.59,Bachelor,Programming,43000,0,1, ,0,A,0,1,0,H
Albert,Crockett,albert.crockett@mail.com,F,37,Yildiz Technical University,Electrical Electronics Engineering,Istanbul,14,Java,Other,3.76,PhD or Higher,Programming,50000,1,0, ,0,A,0,1, ,H
Alberto,Sager,alberto.sager@mail.com,F,43,Manisa Celal Bayar University,Electronics and Communication Engineering,Istanbul,25,Altium Proteus MATLAB,"E,G",2.63,PhD or Higher,Electronics,48000,1,0, ,0,G,1,0, ,H
Alden,Negron,alden.negron@mail.com,F,43,Gebze Technical University,Automotive Engineering,Istanbul,24,Siemens NX Solidworks Fusion 360,Other,3.76,PhD or Higher,Design,31000,0,0, ,1,A,1,0, ,H
Alec,Gunderson,alec.gunderson@mail.com,M,43,Afyon Kocatepe University,Mechatronics Engineering,Istanbul,17,ML DL C Python,Other,3.71,Master,Programming,40000,0,0,Delayed,0,G,1,0, ,H
Alecia,Lancaster,alecia.lancaster@mail.com,M,34,Sabanci University,Automotive Engineering,Istanbul,10,MATLAB,E,3.99,Master,Electronics,38000,0,1,Exempted,0,G,0,0, ,N
Aleena,Otto,aleena.otto@mail.com,M,22,Istanbul University,Automotive Engineering,Istanbul,0,MATLAB Altium,"E,G",2.89,Bachelor,Electronics,34000,1,0,Not at Military Age,0,G,0,0,0,N
Aleigha,Barton,aleigha.barton@mail.com,F,40,Bogazici University,Mechatronics Engineering,Ankara,18,Mitsubishi PLC Schneider Electric PLC,G,3.98,Master,Automation,30000,0,1, ,1,G,1,1, ,H
Alek,Hoover,alek.hoover@mail.com,F,45,Koc University,Electronics and Communication Engineering,Istanbul,25,Schneider Electric PLC Allen Bradley PLC Omron PLC,Other,3.96,Bachelor,Automation,40000,0,0, ,0,G,0,0, ,N
Alexa,Stacy,alexa.stacy@mail.com,M,30,Middle East Technical University,Aeronautical Engineering,Istanbul,9,Allen Bradley PLC Omron PLC C,Other,2.22,PhD or Higher,Automation,41000,1,1,Remnant,0,G,1,1, ,H
Alexandre,Tierney,alexandre.tierney@mail.com,F,30,Istanbul University,Electrical Electronics Engineering,Duzce,11,Mitsubishi PLC Schneider Electric PLC,Other,2.25,PhD or Higher,Automation,21000,0,0, ,0,A,1,1, ,H
Alexandro,Brandenburg,alexandro.brandenburg@mail.com,M,39,Istanbul University-Cerrahpasa,Electronics and Automation Engineering,Erzurum,15,Proteus,Other,2.77,Master,Electronics,49000,1,0,Uncertain,0,A,0,0, ,N
Alexi,Keefer,alexi.keefer@mail.com,F,33,Tekirdag Namik Kemal University,Control and Automation Engineering,Istanbul,16,Altium Proteus,"E,G",3.14,Bachelor,Electronics,48000,1,0, ,0,A,0,1, ,H
Alexus,McClendon,alexus.mcclendon@mail.com,M,45,Middle East Technical University,Automotive Engineering,Ankara,16,Proteus,G,3.37,Bachelor,Electronics,23000,1,1,Exempted,0,G,1,0, ,H
Alfonso,Gaither,alfonso.gaither@mail.com,M,25,Middle East Technical University,Electrical Electronics Engineering,Istanbul,5,C# ML C Python,E,3.14,Bachelor,Programming,43000,1,1,Not at Military Age,0,A,1,1,0,H
Alfredo,Yanez,alfredo.yanez@mail.com,F,28,Hacettepe University,Mechatronics Engineering,Malatya,7,Siemens NX,G,2.66,PhD or Higher,Design,40000,1,1, ,0,G,0,0, ,N
Ali,Palermo,ali.palermo@mail.com,F,36,Sabanci University,Electrical Electronics Engineering,Ankara,16,MATLAB Altium, ,2.03,Bachelor,Electronics,49000,0,1, ,0,G,1,0, ,N
Alia,Pence,alia.pence@mail.com,F,39,cukurova University,Electronics and Communication Engineering,Sivas,14,Solidworks,E,3.52,Master,Design,21000,0,0, ,0,G,1,0, ,H
Aliah,Grigsby,aliah.grigsby@mail.com,M,21,Istanbul University-Cerrahpasa,Aeronautical Engineering,Istanbul,0,MATLAB,G,2.28,Bachelor,Electronics,17000,0,0,Not at Military Age,0,G,1,0,1,H
Alisa,Richmond,alisa.richmond@mail.com,F,21,Middle East Technical University,Electronics and Automation Engineering,Istanbul,0,MATLAB,E,2.26,Bachelor,Test,34000,0,0, ,0,G,0,0,1,N
Alisa,Fry,alisa.fry@mail.com,F,40,Koc University,Control and Automation Engineering,Ankara,24,C++ Siemens PLC Mitsubishi PLC,Other,2.90,Bachelor,Automation,31000,0,1, ,0,G,1,0, ,H
